Produktnr.;Produktnavn;Varegruppe;Varegruppenavn;Original_nummer;i_nettbutikk
DR11215;"Drivaksel, framaksel venstre";1010;Drivaksel;;
DR11213;"Drivaksel, bakaksel høyre";1010;Drivaksel;;
DR11214;"Drivaksel, bakaksel, venstre og høyre";1010;Drivaksel;;
DR11212;"Drivaksel, bakaksel venstre";1010;Drivaksel;;
DR11211;"Drivaksel, bakaksel høyre";1010;Drivaksel;;
DR11210;"Drivaksel, høyre bakaksel";1010;Drivaksel;;
DR11209;"Drivaksel, venstre bakaksel";1010;Drivaksel;;
DR11208;"Drivaksel Bmw, høyre bakaksel";1010;Drivaksel;;
DR11207;"Drivaksel Bmw, venstre bakaksel";1010;Drivaksel;;
DR11206;"Drivaksel Bmw, bakaksel høyre";1010;Drivaksel;;
DR11205;"Drivaksel Bmw, bakaksel venstre";1010;Drivaksel;;
DR11204;"Drivaksel Bmw, framaksel høyre";1010;Drivaksel;;
DR11203;"Drivaksel Bmw, framaksel venstre";1010;Drivaksel;;
DR11202;"Drivaksel Bmw, bakaksel høyre";1010;Drivaksel;;
DR11201;"Drivaksel Bmw, bakaksel venstre";1010;Drivaksel;;
DR11200;"Drivaksel Bmw, bakaksel høyre";1010;Drivaksel;;
DR11199;"Drivaksel Bmw, bakaksel venstre";1010;Drivaksel;;
DR11198;"Drivaksel Bmw, venstre bakaksel";1010;Drivaksel;;
18-342470;"Drivaksel til BMW, Bak, Høyre";1010;Drivaksel;"33207591596, 332,";ja
DR11194;"Drivaksel BMW Z3 (E36), Bakaksel venstre og høyre";1010;Drivaksel;;
DR11195;"Drivaksel Bmw X5 E70 Bakaksel høyre og venstre";1010;Drivaksel;;
DR11193;"Drivaksel BMW M3 (E46), Z4 (E86), Bakaksel høyre";1010;Drivaksel;;
DR11192;"Drivaksel BMW M3 (E36), Bakaksel høyre og venstre";1010;Drivaksel;;
DR11190;"Drivaksel Bmw, Bakaksel venstre, høyre";1010;Drivaksel;;
18-342200;"Drivaksel til Bmw 5'er & 7'er, Foran, Høyre";1010;Drivaksel;"31607593040, 31607618678, 7593040, 7618678,";ja
18-341280;"Drivaksel Bmw, Framaksel venstre";1010;Drivaksel;"31607593043, 31607618681, AY759304304,";ja
DR11187;"Drivaksel BMW, Bakaksel høyre";1010;Drivaksel;;
18-341200;"Drivaksel til Bmw 5'er & 7'er, Foran, Venstre";1010;Drivaksel;"31607593039, 31607606027, 7593039, 7606027,";ja
18-342280;"Drivaksel til Bmw 5'er & 7'er, Foran, Høyre";1010;Drivaksel;"31607593044, 31607618680, 7593044, 7618680,";ja
DR11184;"Drivaksel BMW, Framaksel høyre";1010;Drivaksel;;
18-341161;"Drivaksel til Bmw, Bak, Venstre";1010;Drivaksel;"33217533445, 33217537715, 3321754073, 33217547073, 33217547075,";ja
DR11181;"Drivaksel Bmw, Bakaksel venstre";1010;Drivaksel;;
DR11180;"Drivaksel, Bakaksel, høyre";1010;Drivaksel;;
DR11178;"Drivaksel, Bmw, Bakaksel Venstre, Bakaksel høyre";1010;Drivaksel;;
18-342161;"Drivaksel til Bmw, Bak, Høyre";1010;Drivaksel;"33217533446, 33217537716, 33217547074, 33217547076,";ja
DR11176;"Drivaksel, Bmw, framaksel venstre";1010;Drivaksel;;
DR11175;"Drivaksel, Bmw, høyre fram";1010;Drivaksel;;
DR11174;"Drivaksel Bmw, Høyre bakaksel";1010;Drivaksel;;
DR11173;"Drivaksel, Mini Cooper, Framaksel venstre";1010;Drivaksel;;
DR11172;"Drivaksel, Mini Cooper, Framaksel høyre";1010;Drivaksel;;
DR11171;"Drivaksel, Bmw, Bakaksel, Venstre, Bakaksel høyre";1010;Drivaksel;;
DR11168;"Drivaksel, Bmw, Venstre, Bakaksel høyre";1010;Drivaksel;;
DR11167;"Drivaksel, Bmw, Bakaksel Venstre, Bakaksel høyre";1010;Drivaksel;;
DR11166;"Drivaksel, Bmw, Bakaksel høyre";1010;Drivaksel;;
DR11165;"Drivaksel, Bmw Framaksel høyre";1010;Drivaksel;;
DR11164;"Drivaksel Bmw, Framaksel venstre";1010;Drivaksel;;
DR11163;"Drivaksel, Bmw, Bakaksel Venstre, Bakaksel høyre med abs";1010;Drivaksel;;
18-342060;"Drivaksel, Bmw, Framaksel høyre";1010;Drivaksel;"31607502732, 316,";ja
DR11161;"Drivaksel, BMW Framaksel, høyre";1010;Drivaksel;;
18-082921;"Drivaksel til Hyundai, Kia, Foran, Høyre";1010;Drivaksel;"49501-2S050, 49501-2Y050, 495012S030, 495013Q750, 49501-3W050, 495012S050, 495012Y050, 495013W050,";ja
DR11159;"Drivaksel, framaksel venstre";1010;Drivaksel;;
DR11158;"Drivaksel Hyundai, Kia, venstre framaksel";1010;Drivaksel;;
DR11157;"Drivaksel Hyundai, Framaksel høyre";1010;Drivaksel;;
DR11156;"Drivaksel Hyundai, Framaksel høyre";1010;Drivaksel;;
DR11155;"Drivaksel Hyundai, framaksel høyre";1010;Drivaksel;;
DR11154;"Drivaxel Hyundai, Kia, Framaksel høyre";1010;Drivaksel;;
DR11153;"Drivaksel Hyundai framaksel venstre";1010;Drivaksel;;
DR11152;"Drivaksel, Hyundai, Venstre";1010;Drivaksel;;
DR11151;"Drivaksel, Hyundai, høyre";1010;Drivaksel;;
DR11150;"Drivaksel, Hyundai, Framaksel høyre";1010;Drivaksel;;
DR11149;"Drivaksel, Hyundai, Framaksel høyre med abs";1010;Drivaksel;;
DR11146;"Drivaksel, Hyundai, Bakaksel Venstre, Framaksel høyre";1010;Drivaksel;;
DR11145;"Drivaksel, Mitsubishi,Hyundai,Framaksel venstre";1010;Drivaksel;;
DR11144;"Drivaksel, Hyundai, Framaksel venstre";1010;Drivaksel;;
DR11143;"Drivaksel, Hyundai, Framaksel venstre";1010;Drivaksel;;
DR11142;"Drivaksel, Hyundai, Framaksel venstre med abs";1010;Drivaksel;;
DR11141;"Drivaksel, Hyundai, Mitsubishi, Framaksel venstre Med abs";1010;Drivaksel;;
DR11140;"Drivaksel, Hyundai, Framaksel venstre med abs";1010;Drivaksel;;
DR11139;"Drivaksel, Hyundai, Framaksel venstre";1010;Drivaksel;;
DR11138;"Drivaksel, Hyundai, Framaksel venstre";1010;Drivaksel;;
DR11136;"Drivaksel, framaksel høyre";1010;Drivaksel;;
DR11134;"Drivaksel Honda, foran venstre";1010;Drivaksel;;
DR11135;"Drivaksel, framaksel venstre";1010;Drivaksel;;
DR11133;"Drivaksel Honda, foran høyre";1010;Drivaksel;;
DR11132;"Drivaksel Honda, framaksel venstre";1010;Drivaksel;;
DR11131;"Drivaksel Honda, framaksel høyre";1010;Drivaksel;;
DR11130;"Drivaksel Honda, framaksel venstre";1010;Drivaksel;;
DR11129;"Drivaksel Honda, framaksel høyre";1010;Drivaksel;;
DR11128;"Drivaksel Honda Civic, Framaksel venstre foran";1010;Drivaksel;;
18-041591;"Drivaksel Honda, Framaksel venstre";1010;Drivaksel;44306S2H951,;ja
DR11126;"Drivaksel Honda, Rover, Framaksel høyre";1010;Drivaksel;;
DR11125;"Drivaksel Honda, Framaksel venstre";1010;Drivaksel;;
DR11124;"Drivaksel, Honda framaksel høyre";1010;Drivaksel;;
18-041580;"Drivaksel til Honda CR-V III, Foran. Venstre";1010;Drivaksel;"44306SWY000, 44306SWY010, 44306SWY020,";ja
18-042580;"Drivaksel til Honda CR-V III, Foran, Høyre";1010;Drivaksel;"44305SWY000, 44305SWY010, 44305SWY020,";ja
DR11121;"Drivaksel, Honda, Framaksel høyre";1010;Drivaksel;;
DR11120;"Drivaksel, Honda, Framaksel venstre";1010;Drivaksel;;
DR11119;"Drivaksel, Honda, Framaksel venstre";1010;Drivaksel;;
DR11118;"Drivaksel, Honda, Framaksel høyre";1010;Drivaksel;;
DR11117;"Drivaksel, Honda, Framaksel høyre med abs";1010;Drivaksel;;
DR11116;"Drivaksel, Honda, Framaksel høyre med abs";1010;Drivaksel;;
DR11115;"Drivaksel, Honda, Framaksel venstre";1010;Drivaksel;;
DR11113;"Drivaksel, Honda, Framaksel venstre med abs";1010;Drivaksel;;
18-042490;"Drivaksel til Honda, Foran, Høyre (uten indre stålaksel med kulelager)";1010;Drivaksel;"44305-SEA-E50, 44305-SEA-N00, 44305SDAA51,";ja
DR11111;"Drivaksel Honda framaksel høyre";1010;Drivaksel;;
DR11110;"Drivaksel til Honda CR-V I, Foran, Høyre";1010;Drivaksel;;
DR11109;"Drivaksel, Honda, Framaksel høyre med abs";1010;Drivaksel;;
DR11107;"Drivaksel, Honda, Framaksel venstre uten abs";1010;Drivaksel;;
DR11108;"Drivaksel, Honda, Framaksel høyre uten abs";1010;Drivaksel;;
DR11106;"Drivaksel, framaksel venstre";1010;Drivaksel;;
DR11105;"Drivaksel, framaksel høyre";1010;Drivaksel;;
DR11104;"Drivaksel, framaksel høyre";1010;Drivaksel;;
DR11103;"Drivaksel, framaksel venstre";1010;Drivaksel;;
DR11102;"Drivaksel Audi, venstre";1010;Drivaksel;;
DR11100;"Drivaksel Audi, Framaksel venstre automat";1010;Drivaksel;;
DR11099;"Drivaksel Audi framaksel høyre automat";1010;Drivaksel;;
DR11098;"Drivaksel Audi, Framaksel høyre og venstre";1010;Drivaksel;;
DR11097;"Drivaksel Audi, Framaksel venstre";1010;Drivaksel;;
DR11096;"Drivaksel Audi, framaksel høyre";1010;Drivaksel;;
DR11095;"Drivaksel Audi, Framaksel venstre";1010;Drivaksel;;
DR11094;"Drivaksel Audi, Framaksel venstre";1010;Drivaksel;;
